system:index,ADM_LEVEL,CC_2,COUNTRY,COUNTRY_NO,ENGTYPE_2,FID_TCL_QC,FID_world_,GID_0,GID_1,GID_2,HASC_2,ISDISPUTED,Id,MAX_LEVEL,NAME_0,NAME_0_NOR,NAME_1,NAME_1_NOR,NAME_2,NAME_2_NOR,NL_NAME_1,NL_NAME_2,SIZE,TYPE_2,VARNAME_2,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,.geo
00000000000000000014,2,NA,Peru,peru,Province,2,27830,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,27831,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,1167.9708995893598,1147.5378096625209,1128.598616540432,1127.776965327561,1143.4667966291308,1187.774301096797,1207.2947863265872,1199.6314174160361,1195.2946987301111,1213.6664581596851,1259.2076718434691,1374.7037539333105,1580.558723077178,1854.2026005014777,2246.892373263836,2749.3051108643413,3159.1712937131524,3553.4459991827607,3936.047410644591,4143.311298854649,4415.199563041329,4843.891228988767,5269.677619613707,5654.667566463351,5910.93461021781,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,2,NA,Peru,peru,Province,2,27831,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,27832,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,3481.5903207957745,3447.5932598263025,3430.6287102252245,3480.603161305189,3475.0399943888187,3459.043989621103,3445.883212186396,3480.362368389964,3553.5522278025746,3639.466067403555,3593.089835457504,3542.9615280404687,3551.519066095352,3578.926037952304,3616.8474484607577,3650.725610487163,3656.519103258848,3664.8736879378557,3635.319382056594,3602.2394215241075,3569.331044331193,3541.330937258899,3488.9498715028167,3474.3153484761715,3483.745448976755,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,2,NA,Peru,peru,Province,2,28187,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,28188,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,0.0,0.0,0.0,0.0,0.0,0.3018875867128372,0.15094386041164398,0.0,0.22656917572021484,0.22662313282489777,0.15108242630958557,0.15108242630958557,0.07554121315479279,0.07554121315479279,0.0,0.15108173340559006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,2,NA,Peru,peru,Province,2,28188,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,28189,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,486.0093551501632,491.7438416928053,515.503417827189,557.2917183563113,600.9548709094524,632.3926181718707,633.9636548683047,646.2334172800183,664.6905352771282,677.2729666605592,673.7260963916779,663.8520284220576,660.775318749249,664.8708553314209,680.1234432831407,707.8154248595238,732.6203039959073,719.0226431563497,679.7041153609753,634.4460870623589,596.8224068880081,573.3096365779638,559.5971101745963,550.4046250283718,556.0662794187665,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,2,NA,Peru,peru,Province,2,28189,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,28190,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,1223.4397167265415,1237.9096860438585,1266.319553770125,1329.2478876709938,1381.8591160327196,1397.6851496174932,1385.3306682482362,1383.4503742158413,1396.4887878522277,1445.4750114828348,1457.448768004775,1500.4174052104354,1506.0767674595118,1475.0390423163772,1391.5292422696948,1341.2580198571086,1305.070768930018,1286.6613705456257,1271.6456881090999,1260.482219465077,1240.7377455085516,1248.5871098339558,1273.9114352464676,1323.354689963162,1365.1097430214286,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,2,NA,Peru,peru,Province,2,28190,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,28191,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,46.538888834416866,45.18353978544474,44.355574034154415,45.18428499251604,49.175639510154724,53.24202671647072,58.81431541591883,65.66757395863533,71.54183814674616,79.60013645887375,87.0557489991188,95.64098486304283,105.20520428568125,111.90732172876596,123.5784104168415,134.04464025050402,141.49844871461391,151.96498504281044,169.51133286207914,178.54893174767494,196.69896081089973,238.0447671636939,272.23728831112385,297.0902657210827,319.456998616457,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,2,NA,Peru,peru,Province,2,28191,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,28192,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,3.614924095571041,3.53961344063282,13.103407442569733,15.739026851952076,12.425485998392105,5.196097619831562,0.9036707878112793,0.30122460424900055,0.0,0.3012208864092827,1.0542736798524857,5.346689224243164,6.024444058537483,9.11197742819786,9.789730928838253,10.919313631951809,10.91931465268135,12.425425440073013,10.166252881288528,9.187290541827679,11.145413756370544,14.383614920079708,17.77240741252899,22.366051323711872,25.60426265746355,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,1,,Malaysia,malaysia,,3,34135,MYS,MYS.13_1,,,FALSE,34136,2,Malaysia,malaysia,Sabah,sabah,,,NA,,medium,,,2152.6219946220517,1904.0935791954398,1515.6111474782228,1272.7258532121778,1026.1663460433483,938.5178894102573,858.325245462358,779.5798452943563,783.4975274801254,992.1047286242247,1167.7355860173702,1201.1060238555074,1207.1661545559764,1190.0519840493798,1148.2452865317464,1135.3466979116201,1009.5797874927521,859.0431596785784,735.0342394858599,645.4605718255043,599.135185495019,580.4908228516579,548.6602568924427,553.4113563746214,575.1090231314301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,1,,Malaysia,malaysia,,3,34136,MYS,MYS.13_1,,,FALSE,34137,2,Malaysia,malaysia,Sabah,sabah,,,NA,,medium,,,3026.3526746332645,2828.9271811693907,2549.3715179264545,2411.3033323436975,2353.7304220423102,2408.6446706727147,2410.005223929882,2343.0039428398013,2284.7401356101036,2268.2628463879228,2251.7820681780577,2433.7452618181705,2463.8927739709616,2350.493042886257,2286.0691003650427,2251.3821355476975,2139.51410946995,2069.2308890894055,1992.37199562788,1797.7989913448691,1577.521480627358,1452.8570994362235,1464.6026221215725,1640.2047248706222,1821.851625315845,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,1,,Malaysia,malaysia,,3,34137,MYS,MYS.13_1,,,FALSE,34138,2,Malaysia,malaysia,Sabah,sabah,,,NA,,medium,,,5012.784062162042,4641.179760210216,4386.016143232584,4716.341259002686,5266.874001286924,5245.4020627141,4864.256463833153,4591.53924112767,4653.3914948403835,4558.95865572989,4020.754698753357,3223.6032439619303,2860.111841931939,2696.657318852842,2693.1033775508404,2628.775907859206,2154.9323100447655,1949.230575978756,2058.0278202444315,2148.17983879894,2066.1360525488853,2027.0452907830477,1999.515831425786,2189.176909662783,2349.4627436921,"{""type"":""MultiPoint"",""coordinates"":[]}"
